id;quote_text;author_id;book_id
1;Najbednija i najtragičnija od svih čovekovih slabosti nesumnjivo je njegova potpuna nesposobnost predviđanja, koja je u opštoj protivnosti sa tolikim njegovim darovima, veštinama i znanjima.;1;1
2;Patnja i bol su samo za široku svest i dubokio srce. Zaista veliki ljudi nose veliku tugu.;2;2
3;Strašno je to što je lepota ne samo strahovita, nego i tajanstvena stvar. Tu se đavo s Bogom bori, a polje bitke su – srca ljudska.;2;3
4;Ja još nisam video da je neko koga su dobro istabanali to zaboravio, ali sam sto puta video da ljudi zaboravljaju i najlepše savete i pouke.;1;8
5;Sve srećne porodice su nalik jedna drugoj, svaka nesrećna porodica nesrećna je na svoj način.;3;5
6;Prvo, pomirite me sa samim sobom!;4;6
7;Na obali jezera od detinjstva živi mlada devojka, ovakva kao vi, voli jezero kao galeb, i srećna je i slobodna je kao galeb. Ali slučajno je naišao jedan čovek, video ju je i prosto iz dosade upropastio…Kao ovog galeba.;4;7
8;Tako ide pravo ka sunčevom zalasku, potpuno odsutan i pogružen, jer nema stvorenja koje je tako žalosno i zbunjeno kao seljak koji boluje.;1;8
9;Niko nikome ne može natovariti toliko muke na vrat koliko čovjek sam sebi.;5;9
10;Ljudi su nepravedni, izigravaju naše povjerenje i ostavljaju nas kad nam je teško, potrebni smo im samo neoštećeni i jaki.;5;10
11;Ništa na svetu nije teže od iskrenosti, i nema ništa lakše od laskanja.;2;2
12;Na besmislicama svet stoji, i da nije njih, na svetu možda ničega ne bi bilo.;2;3
13;Ima u nekim ljudima bezrazloznih mržnja i zavisti koje su veće i jače od svega što drugi ljudi mogu da stvore i izmisle.;1;1
14;Niko nije zadovoljan svojim položajem, ali je svako zadovoljan svojom pameću;3;5
15;Početi nov život... Reci mi, kako da počnem... od čega da počnem?;4;6
16;Ako pomislimo šta nam je i koliko kroz stoleća uzimano, sve ove građevine su mrvice.;1;1
17;Svijet se sastoji od nesavršenih ljudi. Sve drugo je laž. Ili smrt. Savršeni ljudi su u grobu. Pa i to više nisu ljudi.;5;9
18;A ljubav ti je razumna jer joj ne vjeruješ suviše. Kao ni ja. Samo neću to da priznam.;5;10
19;Moje riječi su postale izlizane, moja priča dosadna, moj lik zamoran svakome. Pretvorio sam se u čovjeka koji moli, a to je posljednje biće na zemlji. Ispod toga nema ništa.;5;9
20;Hiljadu nečijih srećnih časaka biće kao ovaj, ali ovaj nikada više. Hiljadu tuđih ljubavi biće kao ova, ali ova nikad više.;5;9
